season;date;league_id;league;team1;team2;proj_score1;proj_score2;score1;score2;tecnico;saiu;home
2020;2020-08-08;2105;Brasileiro Série A;Fortaleza;Atlético Paranaense;1.18;1.35;0;2;ceni;0;1
2020;2020-08-08;2105;Brasileiro Série A;Coritiba;Internacional;1.24;1.6;0;1;barroca;0;1
2020;2020-08-08;2105;Brasileiro Série A;Sport Recife;Ceará;1.3;1.33;3;2;daniel paulista;0;1
2020;2020-08-09;2105;Brasileiro Série A;Santos;Bragantino;1.89;0.93;1;1;cuca;0;1
2020;2020-08-09;2105;Brasileiro Série A;Flamengo;Atletico Mineiro;2.36;0.84;0;1;domenec;0;1
2020;2020-08-09;2105;Brasileiro Série A;Grêmio;Fluminense;1.9;0.94;1;0;renato;0;1
2020;2020-08-12;2105;Brasileiro Série A;Atlético Paranaense;Goiás;1.71;0.96;2;1;dorival;0;1
2020;2020-08-12;2105;Brasileiro Série A;Atletico Mineiro;Corinthians;1.32;1.24;3;2;sampaoli;0;1
2020;2020-08-12;2105;Brasileiro Série A;Bragantino;Botafogo;1.48;1.13;1;1;felipe com;0;1
2020;2020-08-12;2105;Brasileiro Série A;Atlético Goianiense;Flamengo;0.88;2.45;3;0;mancini;0;1
2020;2020-08-12;2105;Brasileiro Série A;Bahía;Coritiba;1.55;1.05;1;0;roger machado;0;1
2020;2020-08-12;2105;Brasileiro Série A;Ceará;Grêmio;1.04;1.8;1;1;guto;0;1
2020;2020-08-12;2105;Brasileiro Série A;Fluminense;Palmeiras;1.01;1.69;1;1;odair;0;1
2020;2020-08-13;2105;Brasileiro Série A;São Paulo;Fortaleza;1.65;0.91;1;0;diniz;0;1
2020;2020-08-13;2105;Brasileiro Série A;Internacional;Santos;1.29;1.24;2;0;coudet;0;1
2020;2020-08-13;2105;Brasileiro Série A;Vasco da Gama;Sport Recife;1.71;1.12;2;0;ramon;0;1
2020;2020-08-15;2105;Brasileiro Série A;Grêmio;Corinthians;1.79;0.95;0;0;renato;0;1
2020;2020-08-15;2105;Brasileiro Série A;Coritiba;Flamengo;0.92;2.26;0;1;barroca;1;1
2020;2020-08-15;2105;Brasileiro Série A;Palmeiras;Goiás;2.19;0.82;1;1;luxa;0;1
2020;2020-08-16;2105;Brasileiro Série A;Atletico Mineiro;Ceará;1.58;1.1;2;0;sampaoli;0;1
2020;2020-08-16;2105;Brasileiro Série A;Bahía;Bragantino;1.5;1.15;2;1;roger machado;0;1
2020;2020-08-16;2105;Brasileiro Série A;Vasco da Gama;São Paulo;1.15;1.27;2;1;ramon;0;1
2020;2020-08-16;2105;Brasileiro Série A;Fluminense;Internacional;1.17;1.33;2;1;odair;0;1
2020;2020-08-16;2105;Brasileiro Série A;Atlético Goianiense;Sport Recife;1.53;1.29;1;1;mancini;0;1
2020;2020-08-16;2105;Brasileiro Série A;Fortaleza;Botafogo;1.42;1.04;0;0;ceni;0;1
2020;2020-08-16;2105;Brasileiro Série A;Santos;Atlético Paranaense;1.29;1.1;3;1;cuca;0;1
2020;2020-08-19;2105;Brasileiro Série A;Flamengo;Grêmio;1.69;1.25;1;1;coudet;0;1
2020;2020-08-19;2105;Brasileiro Série A;Bragantino;Fluminense;1.31;1.32;2;1;felipe com;0;1
2020;2020-08-19;2105;Brasileiro Série A;Atlético Paranaense;Palmeiras;1.06;1.36;0;1;dorival;0;1
2020;2020-08-19;2105;Brasileiro Série A;Internacional;Atlético Goianiense;1.8;0.92;3;0;coudet;0;1
2020;2020-08-19;2105;Brasileiro Série A;Goiás;Fortaleza;1.45;1.26;1;3;ney franco;1;1
2020;2020-08-19;2105;Brasileiro Série A;Corinthians;Coritiba;1.63;0.91;3;1;thiago nunes;0;1
2020;2020-08-19;2105;Brasileiro Série A;Botafogo;Atletico Mineiro;1.11;1.41;2;1;autuori;0;1
2020;2020-08-20;2105;Brasileiro Série A;Sport Recife;Santos;1.15;1.6;0;1;daniel paulista;0;1
2020;2020-08-20;2105;Brasileiro Série A;São Paulo;Bahía;1.51;0.91;1;1;diniz;0;1
2020;2020-08-20;2105;Brasileiro Série A;Ceará;Vasco da Gama;1.3;1.23;0;3;guto;0;1
2020;2020-08-22;2105;Brasileiro Série A;Atlético Paranaense;Fluminense;1.34;0.95;0;1;dorival;0;1
2020;2020-08-22;2105;Brasileiro Série A;Internacional;Atletico Mineiro;1.55;1.1;1;0;coudet;0;1
2020;2020-08-22;2105;Brasileiro Série A;Goiás;Atlético Goianiense;1.54;1.25;2;0;glauber;0;1
2020;2020-08-23;2105;Brasileiro Série A;Flamengo;Botafogo;2.36;0.56;1;1;domenec;0;1
2020;2020-08-23;2105;Brasileiro Série A;Palmeiras;Santos;1.58;0.88;2;1;luxa;0;1
2020;2020-08-23;2105;Brasileiro Série A;Bragantino;Coritiba;1.6;1.1;1;2;felipe com;0;1
2020;2020-08-23;2105;Brasileiro Série A;Vasco da Gama;Grêmio;1.0;1.66;0;0;ramon;0;1
2020;2020-08-23;2105;Brasileiro Série A;Sport Recife;São Paulo;1.07;1.48;0;1;daniel paulista;1;1
2020;2020-08-23;2105;Brasileiro Série A;Ceará;Bahía;1.31;1.2;2;0;guto;0;1
2020;2020-08-26;2105;Brasileiro Série A;São Paulo;Atlético Paranaense;1.23;0.91;1;0;diniz;0;1
2020;2020-08-26;2105;Brasileiro Série A;Corinthians;Fortaleza;1.53;1.03;1;1;thiago nunes;0;1
2020;2020-08-29;2105;Brasileiro Série A;Botafogo;Internacional;0.97;1.46;0;2;autuori;0;1
2020;2020-08-29;2105;Brasileiro Série A;Fluminense;Vasco da Gama;1.3;1.04;2;1;odair;0;1
2020;2020-08-29;2105;Brasileiro Série A;Bahía;Palmeiras;0.88;1.67;1;1;roger machado;0;1
2020;2020-08-29;2105;Brasileiro Série A;Fortaleza;Bragantino;1.42;1.19;3;0;ceni;0;1
2020;2020-08-30;2105;Brasileiro Série A;São Paulo;Corinthians;1.39;0.97;2;1;diniz;0;1
2020;2020-08-30;2105;Brasileiro Série A;Coritiba;Sport Recife;1.32;1.2;1;0;jorginho;0;1
2020;2020-08-30;2105;Brasileiro Série A;Santos;Flamengo;1.16;1.61;0;1;cuca;0;1
2020;2020-08-30;2105;Brasileiro Série A;Atlético Goianiense;Ceará;1.24;1.25;0;2;mancini;0;1
2020;2020-09-02;2105;Brasileiro Série A;Ceará;Fortaleza;1.28;1.08;1;0;guto;0;1
2020;2020-09-02;2105;Brasileiro Série A;Fluminense;Atlético Goianiense;1.49;0.89;1;1;odair;0;1
2020;2020-09-02;2105;Brasileiro Série A;Goiás;Corinthians;1.24;1.47;1;2;larghi;0;1
2020;2020-09-02;2105;Brasileiro Série A;Bahía;Flamengo;0.93;1.89;3;5;roger machado;1;1
2020;2020-09-02;2105;Brasileiro Série A;Botafogo;Coritiba;1.29;1.07;0;0;autuori;0;1
2020;2020-09-02;2105;Brasileiro Série A;Atlético Paranaense;Bragantino;1.48;0.89;1;1;barros;0;1
